maxsimulationtime=1000	models=Markov	randomamplitude=1.0	locationinitializer=random initializer	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	bias=0.0	scale=1.0	distribution=jsc.distributions.Uniform	params=0.0,1.0,	maps=squarereflect	width=500	height=500	rangealgorithms=NullPowerAlgorithm	maxspeed=10	minspeed=5	memoryfactor=0.8	nodenumber=10	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
1	0	115	333	1009	105	0
1	1	192	173	1009	2074	0
1	2	257	171	0098	1068	0
1	3	238	219	1003	5078	0
1	4	24	147	0099	0088	0
1	5	414	444	0088	0074	0
1	6	401	20	101	1082	0
1	7	254	375	0086	5067	0
1	8	134	197	0098	2016	0
1	9	231	45	1	1047	0
2	0	120	341	9017	0094	0
2	1	189	179	5067	1092	0
2	2	262	178	8072	0093	0
2	3	240	211	7087	4094	0
2	4	30	149	603	0031	0
2	5	415	453	9047	1046	0
2	6	399	27	6061	108	0
2	7	259	373	5053	6003	0
2	8	136	202	5062	1013	0
2	9	233	52	6049	1033	0
3	0	128	338	0092	5095	0
3	1	184	183	1015	2046	0
3	2	264	187	1003	1035	0
3	3	242	203	1009	5004	0
3	4	29	154	0093	1059	0
3	5	416	462	0095	1052	0
3	6	400	35	1021	1052	0
3	7	264	374	0094	0021	0
3	8	139	208	1014	1004	0
3	9	236	56	0087	0093	0
4	0	135	343	903	0064	0
4	1	180	188	6008	2033	0
4	2	259	194	8094	2016	0
4	3	245	195	7066	5002	0
4	4	24	156	5096	2075	0
4	5	413	469	7093	1095	0
4	6	397	43	7021	1093	0
4	7	268	378	5049	0074	0
4	8	138	214	5024	1077	0
4	9	238	62	6097	1025	0
5	0	143	347	0091	0049	0
5	1	174	192	1016	2056	0
5	2	259	203	1	1056	0
5	3	248	187	1012	5008	0
5	4	18	159	1018	208	0
5	5	413	476	0086	1052	0
5	6	400	51	1016	1016	0
5	7	273	378	0099	6024	0
5	8	139	220	1015	1044	0
5	9	240	67	0079	1025	0
6	0	151	349	8096	0017	0
6	1	169	197	6015	2037	0
6	2	260	212	9001	1047	0
6	3	254	180	8011	5047	0
6	4	13	164	5044	2032	0
6	5	409	481	7092	2028	0
6	6	394	56	7014	2047	0
6	7	277	380	4054	0057	0
6	8	142	225	5058	1011	0
6	9	237	73	704	2001	0
7	0	158	351	0087	0028	0
7	1	164	202	1007	2043	0
7	2	263	220	0098	1019	0
7	3	261	173	1019	5046	0
7	4	8	168	1037	2047	0
7	5	403	481	0075	3004	0
7	6	390	64	1024	2002	0
7	7	280	384	1001	0085	0
7	8	146	232	1036	0094	0
7	9	239	78	007	1035	0
8	0	167	350	10013	6019	0
8	1	158	203	5076	2088	0
8	2	259	228	8066	2009	0
8	3	266	165	7082	5031	0
8	4	3	174	5047	2025	0
8	5	397	484	8076	2078	0
8	6	384	70	6089	2034	0
8	7	282	389	5055	1026	0
8	8	148	239	5039	1033	0
8	9	239	82	6042	1042	0
9	0	174	353	0076	0043	0
9	1	153	199	1006	3084	0
9	2	252	234	1006	2047	0
9	3	274	170	1022	0048	0
9	4	4	182	1041	1042	0
9	5	401	488	0069	0091	0
9	6	379	77	1018	2019	0
9	7	285	394	1007	0098	0
9	8	151	246	1042	102	0
9	9	240	88	0086	1049	0
10	0	182	350	10077	5093	0
10	1	147	195	6079	3079	0
10	2	252	241	7041	1056	0
10	3	280	179	8093	1	0
10	4	6	190	5084	1032	0
10	5	405	493	9064	008	0
10	6	380	86	7067	1048	0
10	7	284	399	5014	1087	0
10	8	157	248	4053	0029	0
10	9	236	91	5033	2039	0
11	0	189	347	0074	508	0
11	1	142	199	0099	2056	0
11	2	248	249	1018	2007	0
11	3	290	184	1024	0046	0
11	4	3	196	1025	2007	0
11	5	412	497	0077	0052	0
11	6	383	94	1015	1023	0
11	7	279	402	0098	2054	0
11	8	162	253	1064	008	0
11	9	237	96	1003	1049	0
12	0	194	341	1002	5047	0
12	1	137	203	609	2035	0
12	2	240	253	7014	2065	0
12	3	300	185	8028	001	0
12	4	0	212	1017	2004	0
12	5	408	499	6095	2068	0
12	6	389	100	7039	0071	0
12	7	275	403	4077	208	0
12	8	168	257	4047	0063	0
12	9	237	102	5069	1053	0
13	0	198	334	0076	5025	0
13	1	134	209	009	1097	0
13	2	234	257	1008	2053	0
13	3	310	181	1026	5093	0
13	4	0	215	2006	1046	0
13	5	392	499	0079	2071	0
13	6	397	100	1002	001	0
13	7	274	409	1011	1081	0
13	8	171	265	1086	102	0
13	9	235	108	101	1097	0
14	0	206	335	9084	0003	0
14	1	132	214	6051	1097	0
14	2	228	262	7003	2041	0
14	3	318	175	8003	5057	0
14	4	1	216	0085	1012	0
14	5	388	496	603	3088	0
14	6	404	98	7031	5091	0
14	7	275	414	5039	1035	0
14	8	172	273	4004	1041	0
14	9	237	114	5073	1012	0
15	0	211	328	0086	5036	0
15	1	130	220	0097	1094	0
15	2	227	269	0098	1085	0
15	3	321	166	1022	5001	0
15	4	1	217	102	0091	0
15	5	382	493	1001	3057	0
15	6	410	101	1002	005	0
15	7	271	420	1021	2022	0
15	8	178	277	1091	0069	0
15	9	241	120	1027	101	0
16	0	218	324	9037	5077	0
16	1	131	227	6083	1033	0
16	2	227	276	7002	1057	0
16	3	317	156	8053	4033	0
16	4	2	218	0096	0061	0
16	5	376	492	6052	3029	0
16	6	416	105	608	0057	0
16	7	268	425	5046	2011	0
16	8	182	284	4	1011	0
16	9	241	127	5059	1057	0
17	0	225	320	0082	5083	0
17	1	134	234	1015	1024	0
17	2	226	284	1019	106	0
17	3	319	146	1016	4093	0
17	4	3	218	1003	0092	0
17	5	375	485	1013	4069	0
17	6	423	106	1007	0013	0
17	7	264	430	1014	2029	0
17	8	183	292	1086	1031	0
17	9	234	128	1018	2097	0
18	0	230	325	8066	0062	0
18	1	135	242	6077	1042	0
18	2	229	293	7035	1032	0
18	3	329	146	8082	0	0
18	4	3	219	0053	0044	0
18	5	379	478	6098	5019	0
18	6	429	108	6019	0028	0
18	7	268	434	5043	0069	0
18	8	190	295	3091	0054	0
18	9	228	129	5065	3009	0
19	0	239	326	0097	0016	0
19	1	136	248	0092	1047	0
19	2	229	302	1019	1056	0
19	3	336	138	1017	5038	0
19	4	3	219	0025	2084	0
19	5	380	470	1009	408	0
19	6	434	113	101	0084	0
19	7	272	439	1019	0095	0
19	8	192	302	1088	1026	0
19	9	220	128	1028	3028	0
20	0	247	324	8088	601	0
20	1	135	254	6086	1075	0
20	2	235	309	8004	0087	0
20	3	334	127	902	406	0
20	4	4	219	2037	5092	0
20	5	382	463	6089	5008	0
20	6	432	120	6067	1081	0
20	7	278	442	5028	0039	0
20	8	193	309	3074	1043	0
20	9	214	128	5039	3006	0
21	0	254	330	1001	0061	0
21	1	129	259	1007	2042	0
21	2	244	312	1023	003	0
21	3	335	118	1004	4075	0
21	4	5	220	0059	0088	0
21	5	380	456	1009	404	0
21	6	431	127	1011	1079	0
21	7	284	441	1018	6011	0
21	8	193	317	2003	1058	0
21	9	207	127	1026	3035	0
22	0	257	338	8058	1032	0
22	1	128	266	6025	1073	0
22	2	249	320	706	1004	0
22	3	329	109	9083	4014	0
22	4	3	221	3075	2034	0
22	5	380	449	6049	4067	0
22	6	424	129	5087	2079	0
22	7	290	438	503	5085	0
22	8	194	324	3071	1041	0
22	9	201	131	5082	206	0
23	0	261	346	1005	1012	0
23	1	123	271	1018	2042	0
23	2	252	329	1027	1028	0
23	3	325	100	1005	4025	0
23	4	2	223	0051	2014	0
23	5	386	448	0095	6008	0
23	6	418	131	1013	2082	0
23	7	295	438	1007	0	0
23	8	196	332	2008	1026	0
23	9	200	138	1016	1063	0
24	0	263	355	9028	1035	0
24	1	117	274	505	2056	0
24	2	245	337	708	2024	0
24	3	320	92	9005	4019	0
24	4	2	224	3004	1035	0
24	5	384	444	4077	4025	0
24	6	412	131	5056	3021	0
24	7	301	437	5036	6015	0
24	8	199	340	4024	1027	0
24	9	195	143	6037	2032	0
25	0	271	362	1011	0065	0
25	1	119	280	1017	1019	0
25	2	235	338	1031	3007	0
