maxsimulationtime=1000	models=Manhattan	locationinitializer=Null	maps=Manhattan	vlines=50,250,450,	dir12lanespace=5	width=500	hlines=50,250,450,	height=500	rangealgorithms=NullPowerAlgorithm	maxacceleration=2	maxspeed=10	fixedacceleration=false	minspeed=5	maxpausetime=10	positiveaccratio=2.0	safedistanceratio=2.0	nodenumber=10	defaultfilter=edu.sharif.ce.dml.common.data.trace.filter.DirectoryFilter	fileaddress=output	isinput=false	multiple=false	filenamegenerator=simple	seed=outputtrace	numberiterate=true	tracewriter=text
Time	Node	PositionX	PositionY	Speed	Direction Angle	Range
1	0	71	250	1089	0	0
1	1	455	216	1023	1057	0
1	2	381	255	0	3014	0
1	3	15	455	0068	3014	0
1	4	352	255	0069	3014	0
1	5	450	493	0	-1057	0
1	6	450	230	0063	-1057	0
1	7	50	457	0	-1057	0
1	8	40	50	0038	0	0
1	9	250	328	0	-1057	0
2	0	73	250	2013	0	0
2	1	455	217	0098	1057	0
2	2	380	255	1031	3014	0
2	3	12	455	2061	3014	0
2	4	352	255	0	3014	0
2	5	450	492	1008	-1057	0
2	6	450	229	1016	-1057	0
2	7	50	457	0042	-1057	0
2	8	41	50	004	0	0
2	9	250	327	1071	-1057	0
3	0	77	250	307	0	0
3	1	455	219	2003	1057	0
3	2	380	255	0	3014	0
3	3	8	455	4057	3014	0
3	4	352	255	0	3014	0
3	5	450	490	105	-1057	0
3	6	450	227	1089	-1057	0
3	7	50	457	0	-1057	0
3	8	41	50	0036	0	0
3	9	250	323	3061	-1057	0
4	0	81	250	4011	0	0
4	1	455	220	0057	1057	0
4	2	380	255	0	3014	0
4	3	4	455	3066	3014	0
4	4	351	255	0075	3014	0
4	5	450	488	1074	-1057	0
4	6	450	224	3017	-1057	0
4	7	50	457	0	-1057	0
4	8	41	50	0	0	0
4	9	250	318	4057	-1057	0
5	0	85	250	4059	0	0
5	1	455	220	0007	1057	0
5	2	378	255	1076	3014	0
5	3	0	455	4028	3014	0
5	4	349	255	1063	3014	0
5	5	450	487	106	-1057	0
5	6	450	221	209	-1057	0
5	7	50	455	1057	-1057	0
5	8	43	50	1091	0	0
5	9	250	316	2081	-1057	0
6	0	89	250	3052	0	0
6	1	455	222	1074	1057	0
6	2	378	255	0036	3014	0
6	3	0	455	4024	3014	0
6	4	346	255	304	3014	0
6	5	450	484	3005	-1057	0
6	6	450	217	4011	-1057	0
6	7	50	455	1091	-1057	0
6	8	47	50	3075	0	0
6	9	250	313	3002	-1057	0
7	0	93	250	3096	0	0
7	1	455	222	0056	1057	0
7	2	377	255	0056	3014	0
7	3	0	455	0	3014	0
7	4	342	255	306	3014	0
7	5	450	480	3064	-1057	0
7	6	450	215	2013	-1057	0
7	7	50	455	0	-1057	0
7	8	50	50	5036	0	0
7	9	250	311	1068	-1057	0
8	0	96	250	303	0	0
8	1	455	222	0	1057	0
8	2	377	255	0	3014	0
8	3	0	455	0	3014	0
8	4	338	255	4033	3014	0
8	5	450	475	5024	-1057	0
8	6	450	212	209	-1057	0
8	7	50	455	0	-1057	0
8	8	50	50	0	0	0
8	9	250	309	1074	-1057	0
9	0	98	250	1069	0	0
9	1	455	222	0	1057	0
9	2	377	255	0	3014	0
9	3	0	455	0	3014	0
9	4	333	255	4082	3014	0
9	5	450	470	5012	-1057	0
9	6	450	208	3056	-1057	0
9	7	50	455	0	-1057	0
9	8	50	50	0	0	0
9	9	250	307	1089	-1057	0
10	0	99	250	1069	0	0
10	1	455	222	0	1057	0
10	2	377	255	0069	3014	0
10	3	0	455	0	3014	0
10	4	328	255	4084	3014	0
10	5	450	464	5035	-1057	0
10	6	450	204	4017	-1057	0
10	7	50	455	0	-1057	0
10	8	50	50	0	0	0
10	9	250	305	1092	-1057	0
11	0	100	250	0052	0	0
11	1	455	224	1096	1057	0
11	2	377	255	0	3014	0
11	3	0	455	0	3014	0
11	4	322	255	6046	3014	0
11	5	450	459	408	-1057	0
11	6	450	200	4035	-1057	0
11	7	50	455	0	-1057	0
11	8	51	50	1099	0	0
11	9	250	303	2003	-1057	0
12	0	100	250	0	0	0
12	1	455	227	2036	1057	0
12	2	376	255	1012	3014	0
12	3	0	450	1017	0	0
12	4	315	255	6049	3014	0
12	5	450	455	6023	-1057	0
12	6	450	194	5029	-1057	0
12	7	50	455	0	-1057	0
12	8	55	50	3046	0	0
12	9	250	300	3054	-1057	0
13	0	101	250	0099	0	0
13	1	455	229	208	1057	0
13	2	373	255	2012	3014	0
13	3	1	450	1072	0	0
13	4	308	255	7058	3014	0
13	5	450	455	0	-1057	0
13	6	450	188	6035	-1057	0
13	7	50	455	0	-1057	0
13	8	60	50	5001	0	0
13	9	250	295	5002	-1057	0
14	0	102	250	1055	0	0
14	1	455	231	1057	1057	0
14	2	372	255	1016	3014	0
14	3	3	450	1092	0	0
14	4	300	255	8007	3014	0
14	5	450	455	0	-1057	0
14	6	450	183	5051	-1057	0
14	7	48	455	1032	3014	0
14	8	64	50	309	0	0
14	9	250	289	6017	-1057	0
15	0	105	250	2031	0	0
15	1	455	234	3021	1057	0
15	2	370	255	2032	3014	0
15	3	3	450	0028	0	0
15	4	291	255	8083	3014	0
15	5	450	455	0	-1057	0
15	6	450	175	7011	-1057	0
15	7	45	455	2077	3014	0
15	8	67	50	3058	0	0
15	9	250	281	7092	-1057	0
16	0	105	250	0046	0	0
16	1	455	237	2056	1057	0
