Iter,refId,refPX,refPY,cmpId,cmpPX,cmpPY
1,0,435,262,6,453,264
1,5,52,54,7,71,100
1,6,453,264,0,435,262
1,7,71,100,5,52,54
2,0,433,269,6,446,267
2,5,55,61,7,79,98
2,6,446,267,0,433,269
2,7,79,98,5,55,61
3,0,431,276,6,440,269
3,5,57,69,7,86,96
3,6,440,269,0,431,276
3,7,86,96,5,57,69
4,0,429,283,6,433,272
4,5,60,76,7,94,94
4,6,433,272,0,429,283
4,7,94,94,5,60,76
5,0,427,290,6,427,274
5,5,63,83,7,101,92
5,6,427,274,0,427,290
5,7,101,92,5,63,83
6,0,425,297,6,420,277
6,5,66,90,7,109,90
6,6,420,277,0,425,297
6,7,109,90,5,66,90
7,0,422,304,6,414,280
7,5,69,97,7,117,88
7,6,414,280,0,422,304
7,7,117,88,5,69,97
8,0,420,311,6,407,282
8,6,407,282,0,420,311
9,0,418,318,6,400,285
9,6,400,285,0,418,318
10,0,416,325,6,394,287
10,1,205,180,2,237,131
10,2,237,131,1,205,180
10,6,394,287,0,416,325
11,0,414,332,6,387,290
11,1,198,186,2,240,138
11,2,240,138,1,198,186
11,6,387,290,0,414,332
12,0,412,339,6,381,292
12,6,381,292,0,412,339
14,4,319,330,6,368,297
14,6,368,297,4,319,330
15,4,317,322,6,361,300
15,6,361,300,4,317,322
16,4,316,314,6,354,302
16,4,316,314,9,277,274
16,6,354,302,4,316,314
16,9,277,274,4,316,314
17,1,159,218,8,120,241
17,4,314,306,6,348,305
17,4,314,306,9,269,280
17,6,348,305,4,314,306
17,8,120,241,1,159,218
17,9,269,280,4,314,306
18,1,152,224,8,125,233
18,4,313,297,6,341,307
18,6,341,307,4,313,297
18,8,125,233,1,152,224
19,1,146,229,5,102,183
19,1,146,229,8,131,226
19,4,311,289,6,335,310
19,5,102,183,1,146,229
19,5,102,183,8,131,226
19,6,335,310,4,311,289
19,8,131,226,1,146,229
19,8,131,226,5,102,183
20,1,139,235,5,104,190
20,1,139,235,8,136,218
20,4,310,281,6,328,312
20,5,104,190,1,139,235
20,5,104,190,8,136,218
20,6,328,312,4,310,281
20,8,136,218,1,139,235
20,8,136,218,5,104,190
21,1,133,240,5,107,197
21,1,133,240,8,141,211
21,4,308,273,6,322,315
21,5,107,197,1,133,240
21,5,107,197,8,141,211
21,6,322,315,4,308,273
21,8,141,211,1,133,240
21,8,141,211,5,107,197
22,1,126,246,5,110,205
22,1,126,246,8,146,204
22,2,279,223,4,307,265
22,4,307,265,2,279,223
22,5,110,205,1,126,246
22,5,110,205,8,146,204
22,8,146,204,1,126,246
22,8,146,204,5,110,205
23,1,120,251,5,113,212
23,2,282,230,4,305,257
23,4,305,257,2,282,230
23,5,113,212,1,120,251
23,5,113,212,8,152,196
23,8,152,196,5,113,212
24,1,115,255,5,115,219
24,2,286,238,4,304,248
24,4,304,248,2,286,238
24,5,115,219,1,115,255
24,5,115,219,8,157,189
24,8,157,189,5,115,219
25,1,115,255,5,118,226
25,2,289,246,4,302,240
25,4,302,240,2,289,246
25,5,118,226,1,115,255
25,5,118,226,8,162,182
25,8,162,182,5,118,226
26,1,115,255,5,121,233
26,2,293,253,4,301,232
26,4,301,232,2,293,253
26,5,121,233,1,115,255
27,1,115,255,5,124,240
27,2,296,261,4,299,224
27,4,299,224,2,296,261
27,5,124,240,1,115,255
28,1,115,255,5,126,247
28,5,126,247,1,115,255
29,1,115,255,5,129,255
29,5,129,255,1,115,255
30,1,115,255,5,132,262
30,5,132,262,1,115,255
31,1,119,263,5,135,269
31,5,135,269,1,119,263
32,1,123,272,5,137,276
32,3,333,141,4,292,183
32,4,292,183,3,333,141
32,5,137,276,1,123,272
33,1,127,280,5,140,283
33,3,329,144,4,290,175
33,4,290,175,3,329,144
33,5,140,283,1,127,280
34,1,130,288,5,143,290
34,3,325,147,4,289,167
34,4,289,167,3,325,147
34,5,143,290,1,130,288
34,7,233,78,8,210,116
34,8,210,116,7,233,78
35,1,134,297,5,146,298
35,3,321,151,4,287,159
35,4,287,159,3,321,151
35,5,146,298,1,134,297
35,7,229,83,8,215,108
35,8,215,108,7,229,83
36,1,138,305,5,148,305
36,3,317,154,4,286,151
36,4,286,151,3,317,154
36,5,148,305,1,138,305
36,7,225,88,8,221,101
36,8,221,101,7,225,88
37,1,141,313,5,150,310
37,3,312,157,4,284,142
37,4,284,142,3,312,157
37,5,150,310,1,141,313
37,7,220,93,8,226,94
37,8,226,94,7,220,93
38,1,145,322,5,150,310
38,3,308,161,4,283,134
38,4,283,134,3,308,161
38,5,150,310,1,145,322
38,7,216,99,8,231,86
38,8,231,86,7,216,99
39,1,149,330,5,150,310
39,3,304,164,4,281,126
39,4,281,126,3,304,164
39,4,281,126,8,237,79
39,5,150,310,1,149,330
39,7,212,104,8,237,79
39,8,237,79,4,281,126
39,8,237,79,7,212,104
40,1,151,336,5,150,310
40,1,151,336,6,197,363
40,3,300,167,4,280,118
40,4,280,118,3,300,167
40,4,280,118,8,242,71
40,5,150,310,1,151,336
40,6,197,363,1,151,336
40,7,208,109,8,242,71
40,8,242,71,4,280,118
40,8,242,71,7,208,109
41,1,151,336,5,148,304
41,1,151,336,6,190,365
41,5,148,304,1,151,336
41,6,190,365,1,151,336
42,1,151,336,5,146,298
42,1,151,336,6,184,368
42,5,146,298,1,151,336
42,6,184,368,1,151,336
43,0,316,430,2,352,384
43,1,157,335,5,144,292
43,1,157,335,6,177,371
43,2,352,384,0,316,430
43,5,144,292,1,157,335
43,6,177,371,1,157,335
44,0,309,424,2,356,392
44,1,163,334,5,142,286
44,1,163,334,6,171,373
44,2,356,392,0,309,424
44,5,142,286,1,163,334
44,6,171,373,1,163,334
45,1,169,333,6,164,376
45,6,164,376,1,169,333
46,1,175,333,6,158,378
46,6,158,378,1,175,333
47,1,181,332,6,151,381
47,6,151,381,1,181,332
49,3,263,197,4,300,148
49,4,300,148,3,263,197
49,6,138,386,9,90,361
49,9,90,361,6,138,386
50,3,259,201,4,305,156
50,4,305,156,3,259,201
50,6,131,388,9,87,352
50,9,87,352,6,131,388
51,6,125,391,9,85,343
51,9,85,343,6,125,391
53,0,237,372,1,217,327
53,1,217,327,0,237,372
54,0,229,366,1,223,326
54,1,223,326,0,229,366
54,5,121,225,7,148,181
54,7,148,181,5,121,225
55,0,221,360,1,229,325
55,1,229,325,0,221,360
55,5,119,219,7,144,186
55,7,144,186,5,119,219
56,0,214,355,1,235,324
56,1,235,324,0,214,355
56,5,117,213,7,140,191
56,7,140,191,5,117,213
57,0,206,349,1,241,324
57,1,241,324,0,206,349
57,5,115,207,7,135,196
57,7,135,196,5,115,207
58,0,198,343,1,247,323
58,1,247,323,0,198,343
58,5,113,201,7,131,201
58,7,131,201,5,113,201
59,5,111,195,7,127,206
59,7,127,206,5,111,195
60,5,109,189,7,123,211
60,7,123,211,5,109,189
61,5,107,183,7,119,216
61,7,119,216,5,107,183
62,5,105,177,7,114,222
62,7,114,222,5,105,177
66,7,97,242,9,50,229
66,9,50,229,7,97,242
67,0,126,291,7,93,247
67,7,93,247,0,126,291
67,7,93,247,9,50,229
67,9,50,229,7,93,247
68,0,119,285,7,89,252
68,7,89,252,0,119,285
68,7,89,252,9,50,229
68,9,50,229,7,89,252
69,0,111,279,7,85,257
69,1,312,314,2,357,355
69,2,357,355,1,312,314
69,7,85,257,0,111,279
69,7,85,257,9,50,229
69,9,50,229,7,85,257
70,0,103,273,7,80,262
70,1,318,313,2,356,349
70,2,356,349,1,318,313
70,7,80,262,0,103,273
70,7,80,262,9,50,229
70,9,50,229,7,80,262
71,0,95,267,7,76,268
71,0,95,267,9,53,220
71,1,324,312,2,355,344
71,2,355,344,1,324,312
71,7,76,268,0,95,267
71,7,76,268,9,53,220
71,9,53,220,0,95,267
71,9,53,220,7,76,268
72,0,87,262,7,72,273
72,1,330,311,2,354,339
72,2,354,339,1,330,311
72,7,72,273,0,87,262
73,0,79,256,7,68,278
73,1,336,310,2,353,333
73,2,353,333,1,336,310
73,7,68,278,0,79,256
74,0,71,250,7,63,283
74,1,342,310,2,352,328
74,2,352,328,1,342,310
74,7,63,283,0,71,250
75,0,63,244,7,59,288
75,1,347,309,2,351,322
75,2,351,322,1,347,309
75,7,59,288,0,63,244
76,1,353,308,2,350,317
76,2,350,317,1,353,308
77,1,359,307,2,349,311
77,2,349,311,1,359,307
78,1,365,306,2,348,306
78,2,348,306,1,365,306
79,1,371,305,2,347,300
79,2,347,300,1,371,305
80,1,377,305,2,346,295
80,2,346,295,1,377,305
81,1,383,304,2,345,289
81,2,345,289,1,383,304
82,1,389,303,2,344,284
82,2,344,284,1,389,303
85,3,113,317,6,112,365
85,6,112,365,3,113,317
86,3,109,320,6,118,361
86,6,118,361,3,109,320
87,3,105,324,6,123,357
87,6,123,357,3,105,324
88,3,101,327,6,128,353
88,6,128,353,3,101,327
89,3,97,330,6,133,349
89,6,133,349,3,97,330
90,3,93,334,6,138,345
90,6,138,345,3,93,334
99,3,55,364,7,10,360
99,7,10,360,3,55,364
100,3,51,367,7,17,365
100,7,17,365,3,51,367
101,3,47,370,7,24,370
101,7,24,370,3,47,370
102,3,43,374,7,31,374
102,7,31,374,3,43,374
103,3,39,377,7,38,379
103,7,38,379,3,39,377
104,3,35,380,7,45,384
104,7,45,384,3,35,380
105,3,31,383,7,52,389
105,7,52,389,3,31,383
106,3,31,383,7,59,393
106,7,59,393,3,31,383
107,3,31,383,7,66,398
107,7,66,398,3,31,383
108,3,35,380,7,73,403
108,7,73,403,3,35,380
109,3,39,376,7,80,408
109,7,80,408,3,39,376
110,2,290,307,6,241,267
110,3,44,373,7,87,413
110,6,241,267,2,290,307
110,6,241,267,9,242,223
110,7,87,413,3,44,373
110,9,242,223,6,241,267
111,2,292,299,6,246,263
111,3,48,369,7,94,417
111,6,246,263,2,292,299
111,6,246,263,9,248,225
111,7,94,417,3,48,369
111,9,248,225,6,246,263
112,2,293,292,6,251,259
112,6,251,259,2,293,292
112,6,251,259,9,254,228
112,9,254,228,6,251,259
113,2,295,284,6,256,255
113,6,256,255,2,295,284
113,6,256,255,9,259,231
113,9,259,231,6,256,255
114,2,297,277,6,261,251
114,2,297,277,9,265,233
114,6,261,251,2,297,277
114,6,261,251,9,265,233
114,9,265,233,2,297,277
114,9,265,233,6,261,251
115,2,299,269,6,267,248
115,2,299,269,9,270,236
115,6,267,248,2,299,269
115,6,267,248,9,270,236
115,9,270,236,2,299,269
115,9,270,236,6,267,248
116,2,301,262,6,272,244
116,2,301,262,9,276,238
116,6,272,244,2,301,262
116,6,272,244,9,276,238
116,9,276,238,2,301,262
116,9,276,238,6,272,244
117,0,145,317,5,140,282
117,1,405,233,8,406,189
117,2,303,254,6,277,240
117,2,303,254,9,282,241
117,5,140,282,0,145,317
117,6,277,240,2,303,254
117,6,277,240,9,282,241
117,8,406,189,1,405,233
117,9,282,241,2,303,254
117,9,282,241,6,277,240
118,0,146,308,5,143,291
118,1,396,228,8,407,198
118,2,304,247,6,282,236
118,2,304,247,9,287,243
118,5,143,291,0,146,308
118,6,282,236,2,304,247
118,6,282,236,9,287,243
118,8,407,198,1,396,228
118,9,287,243,2,304,247
118,9,287,243,6,282,236
119,0,147,298,5,146,301
119,1,388,223,8,407,207
119,2,306,239,6,287,232
119,2,306,239,9,293,246
119,5,146,301,0,147,298
119,6,287,232,2,306,239
119,6,287,232,9,293,246
119,8,407,207,1,388,223
119,9,293,246,2,306,239
119,9,293,246,6,287,232
120,0,148,289,5,149,310
120,1,379,218,8,407,217
120,2,308,232,6,292,228
120,2,308,232,9,298,248
120,5,149,310,0,148,289
120,6,292,228,2,308,232
120,6,292,228,9,298,248
120,8,407,217,1,379,218
120,9,298,248,2,308,232
120,9,298,248,6,292,228
121,0,149,279,5,152,319
121,1,371,213,8,407,226
121,2,310,224,6,297,224
121,2,310,224,9,304,251
121,5,152,319,0,149,279
121,6,297,224,2,310,224
121,6,297,224,9,304,251
121,8,407,226,1,371,213
121,9,304,251,2,310,224
121,9,304,251,6,297,224
122,1,362,208,8,408,235
122,2,312,217,6,302,220
122,2,312,217,9,310,253
122,6,302,220,2,312,217
122,6,302,220,9,310,253
122,8,408,235,1,362,208
122,9,310,253,2,312,217
